"train_label","train_subject","eval_subject","train_run_name","eval_run_name","easy_accuracy","medium_accuracy","hard_accuracy","macro_accuracy","best_learning_rate","best_lora_r","best_lora_alpha","best_lora_dropout","best_lambda_rationale","train_rows_total","val_rows_total","best_val_answer_accuracy","best_val_loss"
"multitask_algebra","algebra","algebra","final_report_subject_sweep_local_20260314_042600_train_algebra","final_report_subject_sweep_local_20260314_042600_eval_algebra_algebra","0.46","0.16","0.08","0.2333333333333333","2E-05","16","32","0.05","0.25","540","90","0.8733401430030644","0.22690355678399404"
"multitask_all5","all","algebra","final_report_subject_sweep_local_20260314_042600_train_all5","final_report_subject_sweep_local_20260314_042600_eval_all_algebra","0.22","0.2","0.02","0.1466666666666667","2E-05","16","32","0.05","0.25","3780","630","0.8534584297957029","0.23004670941403935"
"multitask_all5","all","geometry","final_report_subject_sweep_local_20260314_042600_train_all5","final_report_subject_sweep_local_20260314_042600_eval_all_geometry","0.12","0.1","0.06","0.09333333333333334","2E-05","16","32","0.05","0.25","3780","630","0.8534584297957029","0.23004670941403935"
"multitask_all5","all","intermediate_algebra","final_report_subject_sweep_local_20260314_042600_train_all5","final_report_subject_sweep_local_20260314_042600_eval_all_intermediate_algebra","0.14","0.04","0.0","0.060000000000000005","2E-05","16","32","0.05","0.25","3780","630","0.8534584297957029","0.23004670941403935"
"multitask_all5","all","number_theory","final_report_subject_sweep_local_20260314_042600_train_all5","final_report_subject_sweep_local_20260314_042600_eval_all_number_theory","0.22","0.1","0.02","0.11333333333333334","2E-05","16","32","0.05","0.25","3780","630","0.8534584297957029","0.23004670941403935"
"multitask_all5","all","precalculus","final_report_subject_sweep_local_20260314_042600_train_all5","final_report_subject_sweep_local_20260314_042600_eval_all_precalculus","0.16","0.02","0.04","0.07333333333333333","2E-05","16","32","0.05","0.25","3780","630","0.8534584297957029","0.23004670941403935"
"multitask_geometry","geometry","geometry","final_report_subject_sweep_local_20260314_042600_train_geometry","final_report_subject_sweep_local_20260314_042600_eval_geometry_geometry","0.28","0.06","0.04","0.12666666666666668","2E-05","16","32","0.05","0.25","540","90","0.9195088676671214","0.22560231271717285"
"multitask_intermediate_algebra","intermediate_algebra","intermediate_algebra","final_report_subject_sweep_local_20260314_042600_train_intermediate_algebra","final_report_subject_sweep_local_20260314_042600_eval_intermediate_algebra_intermediate_algebra","0.14","0.08","0.0","0.07333333333333335","5E-05","16","32","0.05","1.0","540","90","0.8462505715592136","0.7712647212876214"
"multitask_number_theory","number_theory","number_theory","final_report_subject_sweep_local_20260314_042600_train_number_theory","final_report_subject_sweep_local_20260314_042600_eval_number_theory_number_theory","0.14","0.14","0.08","0.12000000000000001","2E-05","16","32","0.05","0.25","540","90","0.8809523809523809","0.23349301285213894"
"multitask_precalculus","precalculus","precalculus","final_report_subject_sweep_local_20260314_042600_train_precalculus","final_report_subject_sweep_local_20260314_042600_eval_precalculus_precalculus","0.18","0.02","0.02","0.07333333333333332","5E-05","8","16","0.05","0.5","540","90","0.8727789623312011","0.37540013988812765"
